100,0
117.24,2.21
133.72,7.35
148.95,15.22
162.5,25.54
173.92,37.97
183,52.1
191.6,69.16
192.97,83.61
193.7,100
191.59,116.15
186.73,131.57
179.33,145.8
169.63,158.43
157.98,169.1
144.75,177.51
130.37,183.45
115.3,186.76
100,187.4
84.94,185.38
70.61,180.75
57.35,173.87
45.62,164.81
35.73,153.93
27.95,141.6
22.48,128.22
19.44,114.2
18.9,100
20.71,86.04
25.11,72.74
31.58,60.5
40.02,49.67
50.12,40.56
61.55,33.4
73.94,28.4
86.89,25.65
100,25.14
112.9,26.83
125,30.78
136.46,36.87
146.41,44.69
154.77,54.04
161.31,64.6
165.87,76.02
168.35,87.95
168.7,100
166.97,111.81
163.24,123.02
157.68,133.3
150.48,142.36
141.91,149.95
132.25,155.86
121.82,159.95
110.96,162.14
100,162.4
89.29,160.76
79.14,157.32
69.85,152.22
61.69,145.66
54.88,137.86
49.6,129.1
45.97,119.67
44.06,109.86
43.9,100
45.44,90.38
48.6,81.29
53.23,73
59.17,65.74
66.19,59.71
74.05,55.05
82.49,51.89
91.23,50.27
100,50
108.55,51.51
116.59,54.43
123.95,58.52
130.34,63.84
135.62,70.11
139.66,77.1
142.38,84.57
143.74,92.29
143.74,100
142.43,107.48
139.75,114.47
136.08,120.83
131.38,126.33
125.84,130.8
119.79,134.29
113.27,136.46
106.62,137.52
100,137.4
93.63,136.14
87.69,133.83
83.26,130.69
77.76,126.51
74.03,121.79
71.25,116.6
69.46,111.12
68.68,105.52
68.9,100
70.06,94.72
72.09,89.84
74.89,85.5
78.32,81.81
82.26,78.86
86.55,76.7
91.04,75.38
95.57,74.89
100,75
0,0
